EventId,EventTimeStamp,EventTime,Protocol,FileSize,State,UserId,SenderId,ReceiverId,ClientName,ReturnMessage,CycleId,CoreId
57db252a-8455-4967-a375-fddb94e58c90,1622246400.0,2021-05-29,routing,73311,FAILED,ericawilliams@example.net,sarakirk@example.net,ariaseric@example.net,Carrie Miller,i,7695accc-f813-4ef1-9cb9-a6a5805eca7d,fdeae8ea-b010-4bc8-ab43-dae01e15733e
103615c7-b220-4e21-ad91-73816fde91a5,1609977600.0,2021-01-07,HTTP,4668,POST_PROC,stephenberger@example.com,zachary46@example.net,pthomas@example.org,Charles Clark,a,216a1d1c-085b-4da0-9dbf-8882844c138f,0141b73f-004c-4f91-b541-fa036519bfb7
59cd604c-17f6-4d6e-8b35-02a4e87687c3,1637193600.0,2021-11-18,SFTP,76927,FAILED,gallen@example.net,jordanbruce@example.org,washingtonwilliam@example.com,Gina Jackson,j,175a5b24-047f-479a-96b9-9c94fe329f1c,d44d66d2-a6d3-44cf-9da3-33a0d0f48180
95ddcac5-f2e5-403d-9b97-381b7b05bc46,1640908800.0,2021-12-31,SFTP,95260,SUBMITTED,tonyaburns@example.org,ericawilliams@example.net,btaylor@example.net,Antonio White,g,96644882-d861-46ee-a939-749992874285,8e9a7859-8d1f-4b95-acef-eeab0fe1a386
9f6e5a6a-8874-43ed-8aec-a36987d01e3b,1612569600.0,2021-02-06,SFTP,85171,AVAILABLE,lisa40@example.org,cphillips@example.org,pthomas@example.org,Matthew Stevens,h,4ba0d48c-2353-4293-8122-1c5712e9c7e3,e5c09d14-a931-42a5-a2dd-05e0eb60b47d
4b5cd13f-8f55-4632-bba8-967152c22915,1640736000.0,2021-12-29,routing,86466,FAILED,sarakirk@example.net,carolyn62@example.org,pottermaurice@example.com,Anthony Morales,j,b34717a1-5af4-4021-a017-1914aaad96c5,a012b24e-e797-45c2-a95c-cfc5200b76cb
6ede6ec0-ff19-43aa-80f4-532de26641fc,1629590400.0,2021-08-22,SFTP,38572,RECEIVING,carolyn62@example.org,watsonjoseph@example.com,stephenberger@example.com,Kelly Cummings,d,50936f31-58c5-46eb-b152-a1eff56c7536,6f6b4e5d-a138-4953-abd8-92da7d311ad6
24f679e8-158e-4266-9496-a742426e90eb,1624665600.0,2021-06-26,AdHOC,29391,AVAILABLE,jordanbruce@example.org,gallen@example.net,zachary46@example.net,Jonathan Parsons,c,278b4f28-31d2-46c3-9e02-ce0030ba6e21,1efad4e5-5e22-4b5e-86ff-0dc470e778d3
88a7c8d2-04e9-4200-bf64-22dca2d2ec95,1629936000.0,2021-08-26,HTTP,4171,POST_PROC,zachary46@example.net,derek26@example.org,ewatkins@example.org,Valerie Black,a,01f4a2d5-a357-459a-bd62-633f1c0f563c,36f408bb-be28-470b-a689-e4f18bf52657
c56dd157-e2e2-4644-8917-579667c1c243,1609804800.0,2021-01-05,SFTP,65146,RECEIVING,watsonjoseph@example.com,pthomas@example.org,ariaseric@example.net,Kimberly Peters,i,b497c98f-acff-4ced-8dd2-7a4b082ec1fa,01b9ceaf-7cff-4a25-bcd1-3c758de96e71
d6a748b2-ab10-49d7-bd34-0b51d9e5bfa1,1613779200.0,2021-02-20,HTTP,94234,TO_EXECUTE,williselizabeth@example.com,kenneth63@example.org,anna31@example.com,Jared Hernandez,c,de7a161c-b10f-43aa-8471-b5f59f2b9cb3,c052df85-aabe-438b-9bf3-6d4498e74089
6be117a3-a31b-498d-aebb-ee2136d4e750,1639094400.0,2021-12-10,AdHOC,39899,POST_PROC,sarakirk@example.net,wshea@example.com,watsonjoseph@example.com,Gloria Gordon,e,7c6ef426-0721-45d3-a04d-2cb90ad9fba8,9261f84c-5dac-4c68-9a06-8fd4550b2747
098ca7e0-aba1-4401-93a7-acdcb1e98c53,1639612800.0,2021-12-16,routing,22518,POST_PROC,kenneth63@example.org,iluna@example.net,hayesemily@example.com,Andre Smith,f,f7122442-0a61-4871-8438-331030886d47,808a2dde-3b39-40c8-8bc9-137af6538ff4
7ce905f7-328b-4863-9ec6-fbe256b459c9,1639785600.0,2021-12-18,routing,5554,RECEIVING,vmills@example.org,sarakirk@example.net,ianwashington@example.org,Christina Barron,c,90386ea0-ed56-4dd8-b441-6cf07df846ed,2ae44521-5636-447a-8716-49aac30b20f5
895635c8-3d17-4857-ab27-25d7488bd525,1623196800.0,2021-06-09,SFTP,57975,POST_PROC,bridgesrobert@example.net,anna31@example.com,washingtonwilliam@example.com,Brittany Hall,i,3b812f16-979c-49c4-9a24-ef424dd54f13,fc020a13-5105-44a9-9389-4c61a03774d6
a49e2c42-e0e5-4bb1-923e-6ed19c3247d6,1614038400.0,2021-02-23,routing,80146,AVAILABLE,lisa40@example.org,pthomas@example.org,hayesemily@example.com,Anthony Brandt,j,f64b1448-f6ac-4214-82fa-d8d986c09b7c,941f3f78-1e47-4310-91ff-1863d928e0c6
c6d6a7a6-08ab-447f-9ba5-4d2a44deda54,1611705600.0,2021-01-27,SFTP,52029,TO_EXECUTE,anna31@example.com,tonyaburns@example.org,matthew76@example.net,Tyler Johnson,b,b1860350-6d03-433c-ac12-3530ce59837c,12a30c0d-384e-4bfc-95df-55ca06195acd
5d041fdb-5e0f-4e52-b648-550f08934d9f,1629504000.0,2021-08-21,HTTP,32447,RECEIVING,vmills@example.org,cphillips@example.org,jortiz@example.org,Lauren Andrews,e,f580e5fc-54cb-4ce7-9a91-511bc463ec0c,ceac588f-a7d1-41f2-99cc-beccc5fa579a
fb9e3546-4d1e-46d5-9592-f1e733cca08b,1638403200.0,2021-12-02,HTTP,78004,AVAILABLE,donna43@example.org,bellmary@example.net,hayesemily@example.com,Elizabeth Thompson,i,9a57c193-e8cb-439f-9255-e28a49215a3f,9f021fd4-b3e5-4569-be9e-f0ba75770d1c
447fd311-fc1d-490b-a052-e86dc9e450ec,1614297600.0,2021-02-26,routing,86557,TO_EXECUTE,ryoung@example.net,brandi23@example.net,brandi23@example.net,Mr. Charles Perez,i,abc5b02b-6589-4951-aebd-5f77839d7d57,774435da-0adf-48f9-9687-a13efb06a672
e5f3f013-0b2e-4085-8ab3-032add399b2e,1622505600.0,2021-06-01,routing,22588,AVAILABLE,jasonwalsh@example.net,fhanson@example.net,kenneth63@example.org,Riley Chung,g,5112e2fd-6ba5-47e8-9e68-158cd36f03fc,6fc2429e-b283-4ba5-b035-77255c6ddb5d
9688cb28-cb97-40f8-bd21-e0565af4e488,1618012800.0,2021-04-10,SFTP,62651,RECEIVED,ianwashington@example.org,ianwashington@example.org,jordanbruce@example.org,Darlene Evans,h,b440b442-33e5-4958-a40a-4f34eae43eb1,bfdc40a6-ea2b-45c8-80ab-4660b818de51
f8bb94a1-970b-436b-ada8-6c50cff16282,1614643200.0,2021-03-02,SFTP,83819,ARCHIVED,nolanjoseph@example.com,stephenberger@example.com,bridgesrobert@example.net,Richard Smith,e,5fcb24d6-231e-4b50-9995-7aea1a0ede84,ece63d61-200b-403b-b4ef-f37b0a3dc570
85afe6ca-3aa0-4b64-950a-2fc9ad44c093,1626998400.0,2021-07-23,routing,9693,AVAILABLE,williamsstephanie@example.com,sarakirk@example.net,utaylor@example.org,Savannah Hoffman,b,971db421-438f-4313-b933-0b2c3db2c248,ab3985be-1bd2-4e90-a2ef-1416bf5a808f
c1a3a914-4ff9-4976-9b37-22426bd400ee,1616371200.0,2021-03-22,SFTP,57963,ARCHIVED,tracy85@example.com,ericawilliams@example.net,btaylor@example.net,Brian Kelly,g,2e378a01-7790-49e0-ac02-0a7ee308d875,e6f26c10-b71b-4a0c-871c-cc8a4c1113b1
3dab26b8-673d-44f6-9b72-e573f87a051b,1627516800.0,2021-07-29,HTTP,72224,RECEIVED,bridgesrobert@example.net,bridgesrobert@example.net,kevin12@example.com,Ryan Pittman,d,0295c100-5307-4a87-9095-15c5172646e9,f8bf489e-7ef6-45b3-9e93-eed351218260
818cd5e9-c2c0-41ff-bc33-cc68d87f5bb1,1611964800.0,2021-01-30,routing,75373,ARCHIVED,freed@example.com,stephenberger@example.com,jortiz@example.org,Randy Armstrong,i,7aaa780b-ef29-46d5-a417-192f4c165bba,93563d17-2429-4b67-8362-448312408ade
b29d3c7b-3be5-40b4-973f-2ca1ad900d70,1635379200.0,2021-10-28,SFTP,10182,AVAILABLE,williamsstephanie@example.com,derek26@example.org,joseph57@example.org,Amanda Oneal,g,09d9aea1-296c-40da-9de5-7446c1eeda1a,3525154c-b5a9-4d9f-8d55-53d68329f017
0ce972eb-0f4d-4a2b-9d2a-0f156344af9f,1610409600.0,2021-01-12,SFTP,97042,FAILED,ochapman@example.com,williamsstephanie@example.com,nolanjoseph@example.com,Jonathan Knight,b,93572cb2-96fb-43cc-a2ce-bdd290a1d2f8,f836ee05-a0b7-4ab7-ac1a-bec26f0175e9
2715682d-d797-4eb5-a62d-01824159c298,1622419200.0,2021-05-31,routing,79120,RECEIVING,joseph57@example.org,tracy85@example.com,kylelandry@example.com,Brittany Bates,h,0d18b6f0-b0b1-46fa-a720-ce45bbba7033,26cada2a-f623-4205-87ba-fec590a8f856
711dae66-10c1-49a8-90e7-7b2a3a06a799,1630800000.0,2021-09-05,HTTP,66837,TO_EXECUTE,nolanjoseph@example.com,kylelandry@example.com,ericawilliams@example.net,Kevin Bowen,f,43f77b7c-2e08-45bc-916b-761e52709400,8071a58d-33fa-43f9-ab2f-f171a7e577aa
628f44f9-7764-4813-ad65-91e98cb0b1dc,1624752000.0,2021-06-27,routing,92038,RECEIVED,cphillips@example.org,garycantu@example.net,ochapman@example.com,Evan Smith,a,8562b85d-da04-4a76-81a1-ab88f94a39bb,76ceca8f-5a34-4806-ab85-215f77378bf4
326713f2-be77-4f0c-add7-21c2f09a5c6a,1629331200.0,2021-08-19,routing,49210,TO_EXECUTE,andrew47@example.net,jordanbruce@example.org,kylelandry@example.com,Christina Clark,e,a92eefd4-0dfc-484a-94dc-53084dc583b6,5cd2c6cf-784c-4e06-a439-8d0b6af933fc
a37355c2-ddc4-4886-8d04-3fd729d37373,1614038400.0,2021-02-23,SFTP,27002,RECEIVING,wshea@example.com,ericawilliams@example.net,cphillips@example.org,James Moore,i,4a336c1b-bcea-475f-9495-54d928d01e6d,f2073c42-6e86-486c-bc6c-65e47e4d7741
72856863-7c93-4128-b76f-385e011f63dd,1639872000.0,2021-12-19,HTTP,79244,RECEIVED,andrew47@example.net,ryoung@example.net,bridgesrobert@example.net,Terry Roberts,a,9a9faf3e-f481-4da5-a952-7a48d47d875a,856f01c7-2a9e-41dd-bb16-97b0fad59b3d
0bd00e9e-c400-44d0-a39d-05ccd80fdf62,1636156800.0,2021-11-06,AdHOC,25643,POST_PROC,ariaseric@example.net,bellmary@example.net,ochapman@example.com,Seth Clay,b,bdf3e125-ec8f-4010-b345-30515d23de7e,9caefa48-386f-482c-bd52-61e410a7e7b5
5bda2f33-0258-49af-938e-28389f627190,1623110400.0,2021-06-08,HTTP,63344,RECEIVED,ochapman@example.com,matthew76@example.net,ochapman@example.com,Heather Carroll,i,90e265b1-ad8f-4fdd-a3ff-f9d5ba8a2c78,c443c637-1fcf-467e-97df-aa5c3ebe4c68
